estimator,workload,rate,seed,cond,residency,coloc_seconds,n_requests,slo_pass,attainment,qwen7b_tpot_p50,qwen7b_tpot_p95,qwen7b_tpot_p99,qwen7b_itl_p99,llama8b_tpot_p50,llama8b_tpot_p95,llama8b_itl_p99,agg_tpot_p50,ttft_p95,ttft_p99
OLD,bursty,8,1,bursty_r8_s1,LARGE_SEPARATED,61.7,2895,2042,0.7054,0.022255332451167068,0.046889449022592795,0.059352393156546494,0.16616446018218994,0.03884677079259133,0.2543735031311103,0.3339254856109619,0.023887649178504944,7.049971222877511,33.229297122955316
OLD,bursty,8,2,bursty_r8_s2,LARGE_COLOCATED,232.9,1839,1381,0.751,0.05892946320029842,0.40046551879998793,0.6287225526240138,0.6175708770751953,0.023883561107599847,0.040219217062969034,0.15910227298736573,0.0237332180681999,9.239637422561628,13.569221496582028
OLD,bursty,8,2,bursty_r8_s2,LARGE_SEPARATED,232.9,1479,1176,0.7951,0.02270915234243279,0.037935066104331276,0.04563995316624641,0.1404475688934326,0.030947146877165762,0.04640570549610454,0.17569684982299805,0.02435489576690051,0.24215588569641106,3.1913801574707126
OLD,bursty,10,1,bursty_r10_s1,LARGE_COLOCATED,128.1,1263,845,0.669,0.03838227689266205,0.07254453549782429,0.11207440048456195,0.312414083480835,0.04791734245453072,0.059361004600158106,0.24671322822570801,0.02056334912776947,5.352500414848357,16.502936129570013
OLD,bursty,10,1,bursty_r10_s1,LARGE_SEPARATED,128.1,2876,1664,0.5786,0.03068098786700467,0.06022878126664593,0.08477484464645385,0.24429941177368164,0.03152545089395637,0.06273939707062463,0.23081684112548828,0.02943086101855106,4.872550308704376,11.48573386669159
OLD,bursty,10,2,bursty_r10_s2,LARGE_COLOCATED,266.2,2632,1742,0.6619,0.05764920810858409,0.49091204255819343,0.8401925170421581,1.0674963188171387,0.026897390683492024,0.0558493759350429,0.19921374320983887,0.027051302864003278,9.532409703731526,16.572105007171636
OLD,bursty,10,2,bursty_r10_s2,LARGE_SEPARATED,266.2,1548,1109,0.7164,0.030850606806137982,0.06466967138377103,0.10332783102989189,0.22988629341125488,0.025801380912026207,0.0401340052485466,0.1486036777496338,0.028317138254642486,0.6683962345123441,6.228055248260498
OLD,steady,2,1,steady_r2_s1,LARGE_COLOCATED,140.8,287,197,0.6864,0.03201313068469365,0.04666424747449399,0.050837007832747895,0.1259770393371582,0.03144448756107262,0.043867023902048566,0.10209774971008301,0.029819981257120768,3.067352914810176,12.292244892120356
OLD,steady,2,1,steady_r2_s1,LARGE_SEPARATED,140.8,602,369,0.613,0.03836808047997646,0.04639943734459255,0.05665728077327503,0.145125150680542,0.018606317007070616,0.03478313122956167,0.08825809478759766,0.031760924571269264,0.2266788721084597,4.561775896549232
OLD,steady,2,2,steady_r2_s2,LARGE_COLOCATED,90.4,173,130,0.7514,0.03062163349845902,0.04568414104474613,0.05166283456342562,0.11701498031616106,0.030166832862361784,0.04613827042442432,0.11036363601684554,0.026111446727405896,3.0241874694824302,12.022321929931644
OLD,steady,2,2,steady_r2_s2,LARGE_SEPARATED,90.4,655,568,0.8672,0.02618027067719362,0.04153244176248865,0.04826887264847755,0.09454503297805811,0.019701534509658815,0.03976734010220477,0.08620352268218932,0.025213724623123806,0.21718847751617398,6.434910035133375
OLD,steady,4,1,steady_r4_s1,LARGE_COLOCATED,191.9,756,429,0.5675,0.03862601604809364,0.06557423621416092,0.09064328297972651,0.18875017166137922,0.035340957685286625,0.04658984330793221,0.13511395454406738,0.03341149818152189,2.9910961389541626,11.313609397411406
OLD,steady,4,1,steady_r4_s1,LARGE_SEPARATED,191.9,986,629,0.6379,0.03587293447483154,0.05495261015260922,0.07998253014352609,0.18349600553512574,0.026043233417329333,0.041891053318977356,0.09940882682800334,0.029342415121694408,2.556208848953247,11.916743993759138
