workload,rate,seed,cond,cycle,timestamp,current_peak_kvpr,best_peak_kvpr,delta_r,residency_colocated
steady,10,3,steady_r10_s3,23,1787647389.6185133,0.09959141212327369,0.09959141212327369,0.0,False
steady,10,3,steady_r10_s3,24,1787647394.6418686,0.09962219730846213,0.09962219730846213,0.0,False
steady,10,3,steady_r10_s3,25,1787647399.665931,0.09773946816393082,0.09773946816393082,0.0,False
steady,10,3,steady_r10_s3,26,1787647404.689397,0.09627183786593609,0.09627183786593609,0.0,False
steady,10,3,steady_r10_s3,27,1787647409.7172084,0.09191320082717588,0.09191320082717588,0.0,False
steady,10,3,steady_r10_s3,28,1787647414.7451854,0.09165074223350637,0.09165074223350637,0.0,False
steady,10,3,steady_r10_s3,29,1787647419.7749972,0.09262396726178443,0.09262396726178443,0.0,False
steady,10,3,steady_r10_s3,30,1787647424.804877,0.08953483019201028,0.08953483019201028,0.0,False
steady,10,3,steady_r10_s3,31,1787647429.8358514,0.090938131290669,0.090938131290669,0.0,False
steady,10,3,steady_r10_s3,32,1787647434.8682194,0.08775591896935277,0.08775591896935277,0.0,False
steady,10,3,steady_r10_s3,33,1787647439.9032462,0.08876266666024672,0.08876266666024672,0.0,False
steady,10,3,steady_r10_s3,34,1787647444.940332,0.08917915053861726,0.08917915053861726,0.0,False
steady,10,3,steady_r10_s3,35,1787647449.990556,0.08924451495484519,0.08924451495484519,0.0,False
steady,10,3,steady_r10_s3,36,1787647455.0394459,0.08961686138372543,0.08961686138372543,0.0,False
steady,10,3,steady_r10_s3,37,1787647460.0750504,0.08751677410480686,0.08751677410480686,0.0,False
steady,10,3,steady_r10_s3,38,1787647465.1123133,0.0902643087525414,0.0902643087525414,0.0,False
steady,10,3,steady_r10_s3,39,1787647470.1502275,0.08949834348094468,0.08949834348094468,0.0,False
steady,10,3,steady_r10_s3,40,1787647475.1898158,0.08550555521080448,0.08550555521080448,0.0,False
steady,10,3,steady_r10_s3,41,1787647480.2285142,0.09043774152579373,0.09043774152579373,0.0,False
steady,10,3,steady_r10_s3,42,1787647485.2679565,0.09019335790144108,0.09019335790144108,0.0,False
steady,10,3,steady_r10_s3,43,1787647490.3515234,0.09176367923896636,0.09176367923896636,0.0,False
