arm,cond,cycle,timestamp,model,gpu,weighted_token_rate,token_rate,input_rate,decode_token_tput,cell_size,tpot_slo_s,kvpr0,kvpr1,decision,moved_model,resid
cooldown30,steady8s2,6,1787609089.2138307,model_4,0,1.0744459543737235,1164.1915709454943,98.76666666666667,1065.4249042788276,36864,0.0371999591588974,0.1245645071603843,0.03772511850812286,,,3.2372950505508954e-16
cooldown30,steady8s2,6,1787609089.2138307,model_5,0,3.338271947688699,1048.6415012580353,733.7666666666667,314.87483459136865,131072,0.0383455865085125,0.1245645071603843,0.03772511850812286,,,3.2372950505508954e-16
cooldown30,steady8s2,6,1787609089.2138307,model_6,0,1.0744459543737233,702.6613476223301,714.4333333333333,-11.77198571100314,57344,0.03492606058716774,0.1245645071603843,0.03772511850812286,,,3.2372950505508954e-16
cooldown30,steady8s2,7,1787609094.2339742,model_3,1,1.622419235894567,482.70865349735215,431.76666666666665,50.941986830685494,114688,0.03177899122238159,0.145860659905961,0.022149057006284417,,,1.2609329929773175e-07
cooldown30,steady8s2,7,1787609094.2339742,model_4,0,0.19653692470071116,212.95313196975533,126.03333333333333,86.919798636422,36864,0.0371999591588974,0.145860659905961,0.022149057006284417,,,1.2609329929773175e-07
cooldown30,steady8s2,7,1787609094.2339742,model_5,0,4.357219149283623,1368.7203743776965,892.2666666666667,476.4537077110299,131072,0.0383455865085125,0.145860659905961,0.022149057006284417,,,1.2609329929773175e-07
cooldown30,steady8s2,7,1787609094.2339742,model_6,0,1.871519948513797,1223.9282243761588,776.5333333333333,447.3948910428255,57344,0.03492606058716774,0.145860659905961,0.022149057006284417,,,1.2609329929773175e-07
cooldown30,steady8s2,8,1787609099.243375,model_3,1,2.148498704428219,639.2299189447893,487.3333333333333,151.89658561145603,114688,0.03177899122238159,0.1370868247845785,0.029331040333491046,MIGRATE,model_6,4.412372193370554e-16
cooldown30,steady8s2,8,1787609099.243375,model_4,0,1.091647578322478,1182.8300008508747,161.03333333333333,1021.7966675175414,36864,0.0371999591588974,0.1370868247845785,0.029331040333491046,MIGRATE,model_6,4.412372193370554e-16
cooldown30,steady8s2,8,1787609099.243375,model_5,0,3.855486574197588,1211.1126033473709,874.1666666666666,336.9459366807042,131072,0.0383455865085125,0.1370868247845785,0.029331040333491046,MIGRATE,model_6,4.412372193370554e-16
