arm,cond,cycle,timestamp,rate_window_s,current_shape,plan_shape,plan_id,plan_changed,convergence_gap,cooldown_active,decision,reason,kvpr0,kvpr1,peak_kvpr
cooldown30,steady8s1,67,1787608224.9251523,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.04312861821815173,0.1170849981141862,0.1170849981141862
cooldown30,steady8s1,68,1787608229.9937372,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03284080984107197,0.10885099380855238,0.10885099380855238
cooldown30,steady8s1,69,1787608235.042235,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.02818037108722806,0.12105516920473915,0.12105516920473915
cooldown30,steady8s1,70,1787608240.1090357,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.031294976692290914,0.10193676795303988,0.10193676795303988
cooldown30,steady8s1,71,1787608245.155765,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03542723999365172,0.11719516494719165,0.11719516494719165
cooldown30,steady8s1,72,1787608250.2041368,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03246381994123007,0.11728068008272845,0.11728068008272845
cooldown30,steady8s1,73,1787608255.2516088,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.0286003892104433,0.11445682979045498,0.11445682979045498
cooldown30,steady8s1,74,1787608260.3347359,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.028936404993479183,0.12211713878602497,0.12211713878602497
cooldown30,steady8s1,75,1787608265.3947918,30.0,1+3,2+2,"(('model_3', 0), ('model_4', 1), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.029714166492007563,0.1236108868062492,0.1236108868062492
cooldown30,steady8s1,76,1787608270.4985154,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.031731725350518186,0.15462345117206902,0.15462345117206902
cooldown30,steady8s1,77,1787608275.5539615,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03146225640537158,0.13023467507072406,0.13023467507072406
cooldown30,steady8s1,78,1787608280.632258,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.026275653890871067,0.14272585757818237,0.14272585757818237
cooldown30,steady8s1,79,1787608285.6855314,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.029469497456212537,0.12905102273313657,0.12905102273313657
cooldown30,steady8s1,80,1787608290.755928,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.040989903786839914,0.12942400272072593,0.12942400272072593
cooldown30,steady8s1,81,1787608295.8121462,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.027062063426385365,0.14421136658969952,0.14421136658969952
cooldown30,steady8s1,82,1787608300.8693435,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.02719677309100906,0.14995650164161914,0.14995650164161914
cooldown30,steady8s1,83,1787608305.9543293,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.030671576720584525,0.15379265664326847,0.15379265664326847
cooldown30,steady8s1,84,1787608311.0089836,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.025378489132059093,0.12496883058877607,0.12496883058877607
cooldown30,steady8s1,85,1787608316.0956173,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.012247802001091393,0.09757710208921726,0.09757710208921726
cooldown30,steady8s2,1,1787609062.524536,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.0,0.0002835210839539682,0.0002835210839539682
cooldown30,steady8s2,2,1787609067.5272422,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,2,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.009264309921376125,0.029912704336251237,0.029912704336251237
cooldown30,steady8s2,3,1787609074.1310253,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.06578134150492888,0.01996050481961546,0.06578134150492888
cooldown30,steady8s2,4,1787609079.1658368,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.0632808579705405,0.027916703845435063,0.0632808579705405
cooldown30,steady8s2,5,1787609084.1719391,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.09042790718246238,0.030347590529076846,0.09042790718246238
cooldown30,steady8s2,6,1787609089.2138307,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.1245645071603843,0.03772511850812286,0.1245645071603843
cooldown30,steady8s2,7,1787609094.2339742,30.0,1+3,1+3,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",False,2,True,,migration cooldown active,0.145860659905961,0.022149057006284417,0.145860659905961
cooldown30,steady8s2,8,1787609099.243375,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.1370868247845785,0.029331040333491046,0.1370868247845785
cooldown30,steady8s2,9,1787609105.4113595,30.0,2+2,1+3,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.09013199074526426,0.06911870252293546,0.09013199074526426
cooldown30,steady8s2,10,1787609110.4180927,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,True,,migration cooldown active,0.08138763423397366,0.07953208063148492,0.08138763423397366
cooldown30,steady8s2,11,1787609115.4290733,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,True,,migration cooldown active,0.0803054137534503,0.08712704072774621,0.08712704072774621
cooldown30,steady8s2,12,1787609120.4412973,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,True,,migration cooldown active,0.0718563097961745,0.07387932312003018,0.07387932312003018
cooldown30,steady8s2,13,1787609125.454968,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,True,,migration cooldown active,0.06638342808983372,0.07062238383206403,0.07062238383206403
cooldown30,steady8s2,14,1787609130.4654405,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.07852472631671902,0.07731327173110661,0.07852472631671902
cooldown30,steady8s2,15,1787609135.4801707,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.07346545482450301,0.078332364903274,0.078332364903274
cooldown30,steady8s2,16,1787609140.4944737,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.06761340902120404,0.08761898536678188,0.08761898536678188
