arm,cond,model,first_t,second_t,interval_s,path
cooldown0,steady10s1,model_4,1787633515.9381003,1787633520.969762,5.03,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633520.969762,1787633546.20183,25.23,0->1 then 1->0
cooldown0,steady10s1,model_4,1787633546.20183,1787633556.2739336,10.07,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633556.2739336,1787633561.311181,5.04,0->1 then 1->0
cooldown0,steady10s2,model_4,1787633944.0669515,1787633964.1605656,20.09,0->1 then 1->0
cooldown0,steady10s2,model_4,1787633964.1605656,1787633994.2850893,30.12,1->0 then 0->1
cooldown0,steady10s2,model_4,1787633994.2850893,1787634004.340849,10.06,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634004.340849,1787634014.3724928,10.03,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634014.3724928,1787634019.404268,5.03,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634019.404268,1787634145.3849437,125.98,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634145.3849437,1787634155.4703252,10.09,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634155.4703252,1787634165.5513537,10.08,1->0 then 0->1
cooldown0,steady10s2,model_6,1787634160.5137763,1787634180.679001,20.17,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634165.5513537,1787634190.8225331,25.27,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634190.8225331,1787634256.5430138,65.72,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634256.5430138,1787634271.7195408,15.18,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634271.7195408,1787634297.0858803,25.37,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634297.0858803,1787634312.2798684,15.19,0->1 then 1->0
cooldown0,steady10s2,model_4,1787634312.2798684,1787634337.6333387,25.35,1->0 then 0->1
cooldown0,steady10s2,model_4,1787634337.6333387,1787634342.6991694,5.07,0->1 then 1->0
