arm,cond,cycle,timestamp,current_shape,current_colocated,plan_colocated,plan_changed,migration_decision,migration_reason,candidate,cand_from,cand_to,cooldown_active,blocked,misplaced,kvpr0,kvpr1,peak_kvpr,alg1_order,rates,solve_resid,current,plan
NEW,steady8s1,22,1787638218.0415883,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.04860862061837475,0.08179695032198248,0.08179695032198248,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.9048732116572373, ""model_4"": 0.6533938218523838, ""model_5"": 2.18214069379019, ""model_6"": 1.9184313651309135}",8.75245139449396e-08,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,23,1787638223.0637128,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.046429810976163846,0.08418113777657471,0.08418113777657471,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 2.9383730197230373, ""model_4"": 0.7746000983132313, ""model_5"": 1.9338357697045145, ""model_6"": 2.0255174588757274}",3.169647703899955e-07,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,24,1787638228.084853,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.04517052655547835,0.08868249620017658,0.08868249620017658,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 2.9075630992421457, ""model_4"": 0.7821062207079716, ""model_5"": 1.852870569589824, ""model_6"": 2.321758022981557}",3.0932878873390087e-07,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,25,1787638233.1065848,2+2,False,True,,MIGRATE,literal line-8 absolute delta exceeds tau,model_6,1,0,False,[],"[""model_6"", ""model_4""]",0.045546597310365956,0.08842178685258037,0.08842178685258037,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 2.9196630037809284, ""model_4"": 0.835666137261476, ""model_5"": 1.8212483585758286, ""model_6"": 2.294284923667904}",3.101702089210477e-07,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,26,1787638238.1285253,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.11277732655146736,0.042009351930136045,0.11277732655146736,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.077185028882465, ""model_4"": 0.7625165512979034, ""model_5"": 1.9228009198612108, ""model_6"": 2.282611870719391}",8.939120895027479e-17,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,27,1787638243.1586196,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.10620944342944366,0.04241314093871232,0.10620944342944366,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.1067625737606774, ""model_4"": 0.7075413245292976, ""model_5"": 1.8428963768633793, ""model_6"": 2.128171257801995}",2.847572090700033e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,28,1787638248.180862,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.10459560551871029,0.04841185492218254,0.10459560551871029,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.5461683730498708, ""model_4"": 0.6845606660857986, ""model_5"": 1.8586012796676714, ""model_6"": 2.06435619266253}",2.8915081602005427e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,29,1787638253.2088592,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.10653272118721534,0.04567863159519089,0.10653272118721534,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.3459597643477315, ""model_4"": 0.6170955502111614, ""model_5"": 2.078572439250349, ""model_6"": 1.9971816075237525}",1.892620680344626e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,30,1787638258.2331328,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.10607803810654408,0.05029773313269219,0.10607803810654408,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.684308951969702, ""model_4"": 0.6422603844852747, ""model_5"": 2.176197855020734, ""model_6"": 1.8543622125545272}",1.9007330343892673e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,31,1787638263.2592196,3+1,True,True,,MIGRATE,literal line-8 absolute delta exceeds tau,model_4,0,1,False,[],"[""model_4""]",0.10623010804822135,0.04805395102821722,0.10623010804822135,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.5199519128169103, ""model_4"": 0.7012347313684776, ""model_5"": 2.1715288133969337, ""model_6"": 1.8067557070306508}",1.898012107460035e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
