arm,cond,timestamp,model,src,dst,classification,plan_id,shape_before,convergence_gap
new,steady8s1,1787638348.9173431,model_5,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
new,steady8s1,1787638551.612842,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
new,steady8s2,1787638948.6957302,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
new,steady8s2,1787638978.9380603,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady8s2,1787639060.500512,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady8s2,1787639095.950215,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady8s2,1787639163.2402213,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady8s2,1787639193.7207057,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s1,1787639371.264318,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 0))",2+2,1
new,steady10s1,1787639402.394636,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s1,1787639456.2400613,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady10s1,1787639486.7560291,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s1,1787639516.9842134,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
new,steady10s1,1787639551.0936306,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s1,1787639584.060439,model_3,1,0,NEW_PLAN_MIGRATION,"(('model_3', 0), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,2
new,steady10s1,1787639614.688559,model_4,0,1,SWAP_COMPLETION_LEG,"(('model_3', 0), ('model_4', 1), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s1,1787639645.015782,model_5,0,1,NEW_PLAN_MIGRATION,"(('model_3', 0), ('model_4', 0), ('model_5', 1), ('model_6', 1))",2+2,2
new,steady10s1,1787639677.303264,model_4,1,0,SWAP_COMPLETION_LEG,"(('model_3', 0), ('model_4', 0), ('model_5', 1), ('model_6', 1))",1+3,1
new,steady10s2,1787639977.5570076,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
new,steady10s2,1787640032.7640445,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
new,steady10s2,1787640290.749755,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
new,steady10s2,1787640321.1165743,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
