experiment,arm,workload,rate,seed,path,exists,size_bytes,size_mb,classification,verification_status,trace_sha,runtime_hash,note
many_model,prism,bursty,8,8,exp/results/many-model-final/raw/prism/bursty/rate_8/seed_8,True,54585649,52.1,AUTHORITATIVE_FINAL,PASS,d902cb7cda27a940005a71d9a8f792214f78766f44c50ea00e0096f7603042e5,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,10,7,exp/results/many-model-final/raw/prism/bursty/rate_10/seed_7,True,64990219,62.0,AUTHORITATIVE_FINAL,PASS,b6b540a4fdd129fb9529c2693aaf465c08f3fcb347409e098686c9fd82c36c46,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,10,8,exp/results/many-model-final/raw/prism/bursty/rate_10/seed_8,True,65825100,62.8,AUTHORITATIVE_FINAL,PASS,c76d4cda6d50b5cdf7e96da37ca5294b035a55b938db4c669750c95aad338b04,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,2,5,exp/results/4het-final/raw/prototype/steady/rate_2/seed_5,True,10547964,10.1,AUTHORITATIVE_FINAL,PASS,5bb86c5b152793036525b1d988824637eabd74b39562c629acc82a1ac46bcf7a,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,2,6,exp/results/4het-final/raw/prototype/steady/rate_2/seed_6,True,10222450,9.7,AUTHORITATIVE_FINAL,PASS,b27f01d234dc51324e8531f5c68290a831678c4f74262880107cc74de8b067c1,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,4,5,exp/results/4het-final/raw/prototype/steady/rate_4/seed_5,True,19613559,18.7,AUTHORITATIVE_FINAL,PASS,5f812af7142083e3b515da69c3f3bc100e54bd10970db16f42ec89eb0b42b36c,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,4,6,exp/results/4het-final/raw/prototype/steady/rate_4/seed_6,True,19308878,18.4,AUTHORITATIVE_FINAL,PASS,e8e378c22d99fb0a3b8de0013dc49ff3d1816a5244a3ae5e62e64c47d919a385,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,6,5,exp/results/4het-final/raw/prototype/steady/rate_6/seed_5,True,28716109,27.4,AUTHORITATIVE_FINAL,PASS,a46e81e2ff24f3183e4f7d5af000a1395b7c20bf823b8b8f696d729d94f0c284,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,6,6,exp/results/4het-final/raw/prototype/steady/rate_6/seed_6,True,27682669,26.4,AUTHORITATIVE_FINAL,PASS,8141f1258cb4cb217f0e7b6fa67b8c9759a04925d4f9e0d40ff2d9f602268d36,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,8,5,exp/results/4het-final/raw/prototype/steady/rate_8/seed_5,True,36343749,34.7,AUTHORITATIVE_FINAL,PASS,088ec6cd6a861d542d8067bc049d9d6cb83c1ff02318e2b53025e771a4aad2fc,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,8,6,exp/results/4het-final/raw/prototype/steady/rate_8/seed_6,True,36267324,34.6,AUTHORITATIVE_FINAL,PASS,fa010c64cb6c0d5adb149f05dd33054f2b83348421eb63ac73e8d2b0e4afc587,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,10,5,exp/results/4het-final/raw/prototype/steady/rate_10/seed_5,True,45264089,43.2,AUTHORITATIVE_FINAL,PASS,5b7e410178d742eabae4590e43f94c88cfb69afc7faf5270bccbbacdd6be4cb8,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,steady,10,6,exp/results/4het-final/raw/prototype/steady/rate_10/seed_6,True,44419911,42.4,AUTHORITATIVE_FINAL,PASS,c0aabe109d91b9cca620b918f97cdfab686f1916f8bac01a9765615aa8a104f6,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,2,5,exp/results/4het-final/raw/prototype/bursty/rate_2/seed_5,True,10391952,9.9,AUTHORITATIVE_FINAL,PASS,f396357c3a0a69d09c36258c0c6db668d3a82e17ed6e2d4fd04e1e8845dd1994,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,2,6,exp/results/4het-final/raw/prototype/bursty/rate_2/seed_6,True,10183554,9.7,AUTHORITATIVE_FINAL,PASS,bafec5fdb72398bca3b1f8a019f0f5db46a9e89d54b9331f1b007617ae9f01b6,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,4,5,exp/results/4het-final/raw/prototype/bursty/rate_4/seed_5,True,19541753,18.6,AUTHORITATIVE_FINAL,PASS,ad05f7a42188bfa48fde62e8e1208e62889ae86cff5b9fef7c5475ecbf43d427,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,4,6,exp/results/4het-final/raw/prototype/bursty/rate_4/seed_6,True,18989779,18.1,AUTHORITATIVE_FINAL,PASS,03cc5f6aafe7b807ee98f69e3db88c41140019b0b3be04e00ba4cc11c76b363b,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,6,5,exp/results/4het-final/raw/prototype/bursty/rate_6/seed_5,True,28536332,27.2,AUTHORITATIVE_FINAL,PASS,9d6e69f2e3a72b97600759ab21401fa080c947b0535df74692e3ae907c1a780e,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,6,6,exp/results/4het-final/raw/prototype/bursty/rate_6/seed_6,True,27268448,26.0,AUTHORITATIVE_FINAL,PASS,815ef9a9c5e8e594c51e66d0bfeac06cdc9289650a2e7b112ebeab1ff23f7025,49f47ebd7c75aecd,counted in final statistics
